,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75
gene_name,Npy,Deptor,Gm11549,Adarb2,Sst,Lamp5,Nrgn,Atp1a3,Ptprd,Slc17a7,Pcp4,Sparcl1,Neurod1,Crh,Reln,Ptn,Arpp19,Ctxn1,Fgfr3,Rprml,Pvalb,Adcy2,Sv2b,Nxph1,Id2,Cxcl14,Nfib,Slc6a1,Fezf2,Cnr1,Cacna2d3,Gad1,Kcnip4,Rorb,Arx,Slc32a1,Synpr,Nrn1,Btbd11,Ank1,Penk,Cck,Neurod6,Cryab,Pdgfra,Syt6,Ly6c2,Car4,Gad2,Dlx6,Lhx6,Vip,Itpka,Kcnmb2,Rab3b,Chrna2,Map3k7cl,Calb1,Caln1,Brinp3,Ly86,Igfbp6,Sncg,Kcnip1,Tesc,Dcn,Fa2h,Ndnf,Slc17a8,Dlx1,Chodl,Ankrd55,Rspo1,Th,Car3,Nxph4
215,0,5,31,8,0,0,1,0,0,0,0,11,0,0,0,8,0,1,0,0,0,0,0,0,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
244,0,4,13,8,0,0,0,0,1,0,0,3,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
279,14,1,15,6,0,8,0,7,0,0,0,4,0,0,0,0,1,1,0,1,0,0,0,1,1,0,2,17,0,1,0,4,0,1,0,3,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
280,0,0,14,3,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
303,0,5,21,18,0,10,21,8,2,2,0,2,3,0,2,1,4,9,0,0,0,0,7,0,2,0,0,1,0,0,0,0,0,0,0,0,0,4,0,1,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
304,0,2,6,4,0,4,8,3,0,3,0,1,0,0,0,2,0,4,1,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
333,0,0,0,0,0,6,5,3,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
335,0,1,19,5,0,1,0,2,0,0,1,9,0,0,0,8,0,0,1,0,0,0,0,0,1,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
393,0,3,11,6,0,3,4,1,2,2,0,8,0,0,0,3,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
