,sample_name,area,x,y,experiment,layer,x_um,y_um,rotated_x,rotated_y,xc_adjusted,yc_adjusted
0,215,90.12,76.27577,875.421,BARISTAseq,L2/3,76.27577,875.421,100.984516,1178.561351,105.984516,1183.561351
1,244,38.75,80.19917,954.0097,BARISTAseq,L1,80.19917,954.0097,171.017247,1214.4361512,176.017247,1219.4361512
2,279,119.2,89.95397,1030.5406,BARISTAseq,L1,89.95397,1030.5406,242.181608,1244.2315153,247.181608,1249.2315153
3,280,21.26,82.3906,1082.19,BARISTAseq,L1,82.3906,1082.19,283.139679,1276.5935246,288.139679,1281.5935246
4,303,176.0,89.18025,818.5604,BARISTAseq,L2/3,89.18025,818.5604,58.181706,1138.9687779,63.181706,1143.9687779
5,304,54.67,91.43913,834.1186,BARISTAseq,L2/3,91.43913,834.1186,72.786752,1144.7870781,77.786752,1149.7870781
6,333,23.28,97.61375,818.6145,BARISTAseq,L2/3,97.61375,818.6145,62.443035,1131.6908672,67.44303500000001,1136.6908672
7,335,101.0,93.92729,1109.6258,BARISTAseq,L1,93.92729,1109.6258,312.669276,1280.3111519,317.669276,1285.3111519
8,393,72.24,110.33863,880.0887,BARISTAseq,L2/3,110.33863,880.0887,122.049802,1151.3893192,127.049802,1156.3893192
9,394,56.23,107.85695,1031.5545,BARISTAseq,L1,107.85695,1031.5545,252.006474,1229.2309589,257.006474,1234.2309589
10,424,46.09,115.62737,800.2627,BARISTAseq,L2/3,115.62737,800.2627,55.549029,1106.9168801,60.549029,1111.9168801
11,452,188.2,127.73677,800.3746,BARISTAseq,L2/3,127.73677,800.3746,61.697326,1096.4838228,66.697326,1101.4838228
12,453,84.25,115.74873,836.3275,BARISTAseq,L2/3,115.74873,836.3275,86.848318,1124.8344181,91.848318,1129.8344181
13,454,50.4,123.86137,835.1719,BARISTAseq,L2/3,123.86137,835.1719,89.901433,1117.2298895,94.901433,1122.2298895
14,480,94.98,126.69503,848.7318,BARISTAseq,L2/3,126.69503,848.7318,103.062833,1121.5517187,108.062833,1126.5517187
15,481,72.82,125.85157,873.0565,BARISTAseq,L2/3,125.85157,873.0565,123.710916,1134.438092,128.710916,1139.438092
16,483,40.33,130.27869,1008.838,BARISTAseq,L1,130.27869,1008.838,243.534691,1198.4575533,248.534691,1203.4575533
17,510,213.4,140.63961,803.9469,BARISTAseq,L2/3,140.63961,803.9469,71.239595,1087.0928545,76.239595,1092.0928545
18,511,69.64,131.64175,811.9539,BARISTAseq,L2/3,131.64175,811.9539,73.678583,1098.8879561,78.678583,1103.8879561
19,512,36.16,135.25826,839.4952,BARISTAseq,L2/3,135.25826,839.4952,99.341585,1109.5186059,104.341585,1114.5186059
20,513,56.52,136.00113,846.3807,BARISTAseq,L2/3,136.00113,846.3807,105.676905,1112.3160409,110.676905,1117.3160409
21,514,80.99,131.65461,857.0297,BARISTAseq,L2/3,131.65461,857.0297,112.728838,1121.4025745,117.728838,1126.4025745
22,515,49.87,131.23795,878.0298,BARISTAseq,L2/3,131.23795,878.0298,130.710473,1132.257837,135.710473,1137.257837
23,517,71.65,127.93555,1158.3604,BARISTAseq,L1,127.93555,1158.3604,371.877195,1275.2079739,376.877195,1280.2079739
24,550,71.17,143.53458,842.27,BARISTAseq,L2/3,143.53458,842.27,105.881022,1103.7364888,110.881022,1108.7364888
25,551,173.3,144.01586,858.5571,BARISTAseq,L2/3,144.01586,858.5571,120.229083,1111.4587495,125.229083,1116.4587495
26,552,106.1,137.17111,870.9612,BARISTAseq,L2/3,137.17111,870.9612,127.552796,1123.5862815,132.552796,1128.5862815
27,553,88.3,140.24067,904.4379,BARISTAseq,L2/3,140.24067,904.4379,158.083631,1137.6567983,163.083631,1142.6567983
28,582,30.29,143.94253,781.0341,BARISTAseq,L2/3,143.94253,781.0341,53.043464,1072.7816717,58.043464,1077.7816717
29,583,129.5,144.137,787.3694,BARISTAseq,L2/3,144.137,787.3694,58.628193,1075.7791851,63.628193,1080.7791851
30,605,62.19,154.21784,781.8027,BARISTAseq,L2/3,154.21784,781.8027,58.844163,1064.2655295,63.844163,1069.2655295
31,606,45.96,149.90516,807.1233,BARISTAseq,L2/3,149.90516,807.1233,78.621162,1080.6545347,83.621162,1085.6545347
32,607,142.2,147.06169,827.6831,BARISTAseq,L2/3,147.06169,827.6831,95.008731,1093.3918606,100.008731,1098.3918606
33,608,41.64,150.94521,839.6284,BARISTAseq,L2/3,150.94521,839.6284,107.296184,1095.99743,112.296184,1100.99743
34,609,19.64,150.46608,853.9337,BARISTAseq,L2/3,150.46608,853.9337,119.447784,1103.5612607,124.447784,1108.5612607
35,610,130.2,156.7272,862.5173,BARISTAseq,L2/3,156.7272,862.5173,130.01161,1102.4274833,135.01161,1107.4274833
36,611,13.48,149.83114,877.9645,BARISTAseq,L2/3,149.83114,877.9645,139.945473,1116.1201268,144.945473,1121.1201268
37,612,66.93,152.31455,1090.2345,BARISTAseq,L1,152.31455,1090.2345,325.050811,1220.0468136,330.050811,1225.0468136
38,637,28.81,155.94184,791.9627,BARISTAseq,L2/3,155.94184,791.9627,68.506043,1067.849458,73.506043,1072.849458
39,638,20.71,154.73707,806.3785,BARISTAseq,L2/3,154.73707,806.3785,80.390695,1076.097027,85.390695,1081.097027
40,639,16.5,158.74491,814.1944,BARISTAseq,L2/3,158.74491,814.1944,89.163486,1076.5313372,94.163486,1081.5313372
41,640,52.22,156.69731,835.459,BARISTAseq,L2/3,156.69731,835.459,106.559298,1088.9315345,111.559298,1093.9315345
42,641,23.45,159.76916,841.7565,BARISTAseq,L2/3,159.76916,841.7565,113.549095,1089.4177583,118.549095,1094.4177583
43,642,159.0,158.41005,876.3183,BARISTAseq,L2/3,158.41005,876.3183,142.806706,1107.8665818,147.806706,1112.8665818
44,643,68.9,159.12785,887.9994,BARISTAseq,L2/3,159.12785,887.9994,153.283371,1113.0822426,158.283371,1118.0822426
45,644,146.3,157.30147,966.2651,BARISTAseq,L2/3,157.30147,966.2651,220.162916,1153.77594,225.162916,1158.77594
46,645,102.5,165.27477,1003.7608,BARISTAseq,L2/3,165.27477,1003.7608,256.625544,1165.6073925,261.625544,1170.6073925
47,679,132.0,163.8286,809.7612,BARISTAseq,L2/3,163.8286,809.7612,87.864016,1069.9125401,92.864016,1074.9125401
48,680,37.75,165.10121,822.9276,BARISTAseq,L2/3,165.10121,822.9276,99.904466,1075.389878,104.904466,1080.389878
49,681,24.73,167.45251,828.735,BARISTAseq,L2/3,167.45251,828.735,106.109785,1076.2553841,111.109785,1081.2553841
50,682,23.35,161.72011,831.207,BARISTAseq,L2/3,161.72011,831.207,105.386285,1082.4559854,110.386285,1087.4559854
51,683,44.25,165.4799,835.5426,BARISTAseq,L2/3,165.4799,835.5426,111.020598,1081.3659772,116.020598,1086.3659772
52,684,37.84,165.91613,867.1116,BARISTAseq,L2/3,165.91613,867.1116,138.583111,1096.764124,143.583111,1101.764124
53,685,68.41,169.80995,876.2254,BARISTAseq,L2/3,169.80995,876.2254,148.423092,1097.9457728,153.423092,1102.9457728
54,686,33.26,165.4972,879.9799,BARISTAseq,L2/3,165.4972,879.9799,149.519997,1103.5576526,154.519997,1108.5576526
55,687,110.0,167.02531,888.0142,BARISTAseq,L2/3,167.02531,888.0142,157.242776,1106.2490001,162.242776,1111.2490001
56,688,66.18,162.65086,915.8032,BARISTAseq,L2/3,162.65086,915.8032,179.127063,1123.925087,184.127063,1128.925087
57,689,62.76,162.94449,1010.0375,BARISTAseq,L2/3,162.94449,1010.0375,260.897804,1170.7624986,265.897804,1175.7624986
58,712,117.1,171.28736,781.962,BARISTAseq,L2/3,171.28736,781.962,67.512224,1049.5597967,72.512224,1054.5597967
59,713,37.97,171.73509,831.4892,BARISTAseq,L2/3,171.73509,831.4892,110.635489,1073.9222197,115.635489,1078.9222197
60,714,144.4,168.73682,849.1985,BARISTAseq,L2/3,168.73682,849.1985,124.476653,1085.3691506,129.476653,1090.3691506
61,715,94.36,171.05055,861.4534,BARISTAseq,L2/3,171.05055,861.4534,136.247859,1089.4891922,141.247859,1094.4891922
62,744,90.96,172.40287,770.9222,BARISTAseq,L2/3,172.40287,770.9222,58.507221,1043.0766471,63.507221,1048.0766471
63,745,40.59,177.47128,778.6319,BARISTAseq,L2/3,177.47128,778.6319,67.718092,1042.5392745,72.718092,1047.5392745
